"","X","huc12","states","name","areasqkm","areaacres"
"41654","41654","042701010503","NY","Ransom Creek",70.84,17506.14
"41655","41655","042701010108","NY","Bowen Creek-Tonawanda Creek",75.71,18708.4
"41656","41656","042701010203","NY","Lower Murder Creek",65.52,16191.38
"41657","41657","042701010306","NY","Saint Stephens Church-Tonawanda Creek",56.86,14051.15
"41658","41658","042701010302","NY","Black Creek-Tonawanda Creek",53.97,13335.61
"41659","41659","042701010805","NY","Cayuga Creek",92.08,22754.08
"41661","41661","042701010305","NY","Mud Creek",85.62,21156.62
"41662","41662","042701010504","NY","Bull Creek",65.04,16072.65
"41663","41663","042701010505","NY","Bear Ridge-Tonawanda Creek",95.01,23477.4
"41664","41664","041201030402","NY","Rush Creek-Frontal Lake Erie",88.72,21922.46
"41665","41665","041300010102","NY","Larkin Creek",44.41,10975.1
"41667","41667","042701010304","NY","Headwaters Mud Creek",29.21,7218.41
"41668","41668","041300010104","NY","Slater Creek-Frontal Lake Ontario",17.41,4303.27
"41669","41669","041300010303","NY","Sandy Creek",42.64,10536.05
"41670","41670","041300010304","NY","Yanty Creek",41.43,10236.65
"41672","41672","041300010305","NY","Bald Eagle Creek",49.22,12162.12
"41674","41674","041300010408","NY","Outlet Oak Orchard Creek",111.53,27559.58
"41675","41675","041300010602","NY","Golden Hill Creek",55.05,13604.36
"41676","41676","041300010704","NY","Eighteenmile Creek",48.78,12054.72
"41678","41678","041300030704","NY","Genesee River",58.02,14336.93
"41679","41679","042701010102","NY","Stony Brook-Tonawanda Creek",55.18,13634.7
"41681","41681","041300010205","NY","Buttonwood Creek-Frontal Braddock Bay",27.43,6778.99
"41682","41682","042701010101","NY","East Fork Tonawanda Creek-Tonawanda Creek",59.01,14582.82
"41683","41683","042701010103","NY","Crow Creek-Tonawanda Creek",78.32,19352.24
"41686","41686","042701010104","NY","Baker Brook-Tonawanda Creek",47.39,11709.49
"41688","41688","042701010801","NY","Scajaquada Creek",70.91,17522.18
"41692","41692","042701010404","NY","Village of Williamsville-Ellicott Creek",56.31,13914.84
"41693","41693","042701010401","NY","Elevenmile Creek-Ellicott Creek",43.21,10676.69
"41694","41694","042701010402","NY","Spring Creek-Ellicott Creek",56.12,13867.92
"41696","41696","042701010201","NY","Upper Murder Creek",49.5,12232.44
"41697","41697","042701010403","NY","Hamlet of Peters Corners-Ellicott Creek",50.32,12434.57
"41700","41700","042701010501","NY","Got Creek",47.49,11733.91
"41701","41701","042701010502","NY","Headwaters Ransom Creek",40.5,10008.24
"41702","41702","042701010406","NY","Ellicott Creek",70.87,17512.49
"41703","41703","042701010107","NY","City of Batavia-Tonawanda Creek",50.54,12489.05
"42102","42102","042701010809","CN,NY","Outlet Niagara River",43.02,10630.31
"42285","42285","041300010501","NY","Jeddo Creek",81.1,20039.86
"42322","42322","041300010101","NY","Round Pond Creek",57.06,14099.43
"42323","42323","041300010401","NY","Headwaters Oak Orchard Creek",161.46,39896.47
"42324","42324","041300010703","NY","Headwaters Eighteenmile Creek",61.8,15270.72
"42325","42325","041300010403","NY","Iroquois National Wildlife Refuge-Oak Orchard Creek",89.78,22184.8
"42326","42326","041300010701","NY","Headwaters East Branch Eighteenmile Creek",55.64,13747.93
"42327","42327","041300010402","NY","Brinningstool Creek-Oak Orchard Creek",123.36,30483.94
"42328","42328","041300010802","NY","East Branch Twelvemile Creek",98.36,24305.2
"42329","42329","041300010901","NY","Twelvemile Creek",90.96,22477.56
"42330","42330","042701010301","NY","Galloway Swamp-Tonawanda Creek",52.73,13029.78
