"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"100","010100040804",99.6839312074915,63179.6908824842,99364700.0029538
"101","010100040805",99.7998578766045,124963.628965114,200117809.31073
"102","010100040901",90.0395131703433,90615.630439584,210225608.661993
"103","010100040902",98.6113242289397,52452.4207589308,82111586.5137577
"104","010100040903",99.9881928641965,62236.9335850146,83842960.5381882
"105","010100040904",98.7891186794836,119534.410980401,205883928.415382
"106","010100040905",99.7130894749631,64491.12000049,96290928.1266186
"107","010100040906",99.9875499945531,44917.8017023296,57817344.9819392
"108","010100040907",100,31285.7094554177,38329223.851025
"109","010100040908",99.9863574351978,54194.2575076857,79151148.9877458
"110","010100040909",98.4596895815006,69320.6207488455,114604468.327242
"111","010100041001",99.8155027705855,61355.0564943829,143911002.424847
"112","010100041002",99.7779391040697,45354.8798845945,63233096.9583335
"113","010100041003",99.9645460790179,31073.6200059611,40621922.06617
"114","010100041004",99.9985308593004,43744.9290475413,61258891.3070887
"115","010100041005",99.9635718398571,50278.9708644176,76594050.6535555
"116","010100041006",98.8969680861162,39833.2048038344,47397577.4092343
"117","010100041007",99.940221752731,67055.4908648627,109919444.278019
"118","010100041008",97.9066071293423,59791.8288086346,118911909.576215
"119","010100041009",97.9824924496773,103994.045675094,234825451.544623
"120","010100041101",99.6245631280035,68974.6224079063,131835242.754508
"121","010100041102",99.9532963440378,34868.1579653534,48193969.8605815
"122","010100041103",92.5349688831969,50975.7282439945,89944139.3174951
"123","010100041104",99.8398795025409,76561.3528546624,132644647.560463
"124","010100041105",100,47509.3307890276,69652380.8977769
"125","010100041106",99.9575599186937,54611.0607067308,80578236.0262285
"126","010100041107",99.5104075051305,45220.3812994089,61390922.8787365
"127","010100041108",99.8766114964047,68264.6364397585,105752165.06538
"128","010100041109",99.7228741415593,51151.1393813634,103917010.145069
"129","010100041110",98.745473830511,50966.744107281,73827296.2606119
"130","010100041111",99.639126305793,27661.7764877337,14211850.2890041
"131","010100041112",99.1347214306334,72355.8291991195,121610252.850359
